date,type,category,amount,description
2024-05-18,expense,Healthcare,4196.66,Sample expense for Healthcare
2024-03-01,expense,Food,2829.73,Sample expense for Food
2024-02-02,income,Bonus,24887.23,Sample income for Bonus
2024-06-20,expense,Rent,4908.41,Sample expense for Rent
2024-07-02,expense,Transport,2093.72,Sample expense for Transport
2024-01-12,income,Freelance,17289.87,Sample income for Freelance
2024-04-08,expense,Education,4056.77,Sample expense for Education
2024-05-28,income,Salary,26342.16,Sample income for Salary
2024-02-22,expense,Shopping,2964.81,Sample expense for Shopping
2024-03-25,expense,Entertainment,4892.11,Sample expense for Entertainment
2024-06-13,expense,Utilities,2764.64,Sample expense for Utilities
2024-04-01,income,Investment Return,28917.61,Sample income for Investment Return
2024-07-06,expense,Healthcare,3796.51,Sample expense for Healthcare
2024-01-24,expense,Food,3376.13,Sample expense for Food
2024-05-07,income,Bonus,20158.66,Sample income for Bonus
2024-03-21,expense,Rent,4603.82,Sample expense for Rent
2024-06-30,expense,Transport,3552.97,Sample expense for Transport
2024-01-16,income,Freelance,14432.64,Sample income for Freelance
2024-02-08,expense,Education,3437.21,Sample expense for Education
2024-07-12,income,Salary,28268.3,Sample income for Salary
2024-04-15,expense,Shopping,2681.95,Sample expense for Shopping
2024-03-17,expense,Entertainment,3096.41,Sample expense for Entertainment
2024-01-02,expense,Utilities,2766.8,Sample expense for Utilities
2024-05-22,expense,Healthcare,2235.89,Sample expense for Healthcare
2024-06-23,income,Investment Return,28723.48,Sample income for Investment Return
2024-02-18,expense,Food,3033.98,Sample expense for Food
2024-04-29,income,Bonus,18166.22,Sample income for Bonus
2024-03-13,expense,Rent,4902.12,Sample expense for Rent
2024-05-01,expense,Transport,2674.82,Sample expense for Transport
2024-02-26,income,Freelance,19945.33,Sample income for Freelance
2024-07-08,expense,Education,2435.7,Sample expense for Education
